"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1188","testSchemaExcluirUsuarioComSucesso()","","Thu Feb 20 17:44:10 GMT 2025","passed","Thu Feb 20 17:44:11 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaExcluirUsuarioComSucesso"
"","102","testSchemaDeveCadastrarUsuarioComDadosValidos()","","Thu Feb 20 17:44:07 GMT 2025","passed","Thu Feb 20 17:44:07 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaDeveCadastrarUsuarioComDadosValidos"
"","690","testSchemaListarTodosUsuariosComSucesso()","","Thu Feb 20 17:44:06 GMT 2025","passed","Thu Feb 20 17:44:07 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaListarTodosUsuariosComSucesso"
"","112","testListarUsuariosPorNomeInvalido()","","Thu Feb 20 17:44:36 GMT 2025","passed","Thu Feb 20 17:44:36 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testListarUsuariosPorNomeInvalido"
"","684","testAtualizarUsuarioInexistenteEComEmailJaCadastrado()","","Thu Feb 20 17:44:38 GMT 2025","passed","Thu Feb 20 17:44:39 GMT 2025","","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","testAtualizarUsuarioInexistenteEComEmailJaCadastrado"
"","120","testExcluirUsuarioInvalido()","","Thu Feb 20 17:44:39 GMT 2025","passed","Thu Feb 20 17:44:39 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","testExcluirUsuarioInvalido"
"","2603","testSchemaDeveCadastrarProdutoComSucesso()","","Thu Feb 20 17:44:03 GMT 2025","passed","Thu Feb 20 17:44:06 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaDeveCadastrarProdutoComSucesso"
"","88","testBuscarUsuarioPorIdInvalido()","","Thu Feb 20 17:44:35 GMT 2025","passed","Thu Feb 20 17:44:35 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testBuscarUsuarioPorIdInvalido"
"","117","testAtualizarUsuarioInexistenteECriacaoDeNovoUsuario()","","Thu Feb 20 17:44:39 GMT 2025","passed","Thu Feb 20 17:44:39 GMT 2025","","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","testAtualizarUsuarioInexistenteECriacaoDeNovoUsuario"
"","1696","testSchemaRealizarLoginComSucesso()","","Thu Feb 20 17:44:07 GMT 2025","passed","Thu Feb 20 17:44:09 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaRealizarLoginComSucesso"
"","4242","testRealizarLoginInvalido()","","Thu Feb 20 17:44:27 GMT 2025","passed","Thu Feb 20 17:44:31 GMT 2025","","com.vemser.rest.tests.functional.login.LoginTest","com.vemser.rest.tests.functional.login.LoginTest","testRealizarLoginInvalido"
"","108","testListarUsuariosPorEmailInvalido()","","Thu Feb 20 17:44:35 GMT 2025","passed","Thu Feb 20 17:44:35 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testListarUsuariosPorEmailInvalido"
"","669","testDeveAtualizarUsuarioComSucesso()","","Thu Feb 20 17:44:38 GMT 2025","failed","Thu Feb 20 17:44:38 GMT 2025","","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","testDeveAtualizarUsuarioComSucesso"
"","100","testDeveCadastrarUsuarioComDadosValidos()","","Thu Feb 20 17:44:38 GMT 2025","passed","Thu Feb 20 17:44:38 GMT 2025","","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","testDeveCadastrarUsuarioComDadosValidos"
"","2070","testListarTodosUsuariosComSucesso()","","Thu Feb 20 17:43:39 GMT 2025","passed","Thu Feb 20 17:43:41 GMT 2025","","com.vemser.rest.tests.healthcheck.HealthCheckTest","com.vemser.rest.tests.healthcheck.HealthCheckTest","testListarTodosUsuariosComSucesso"
"","698","testListarTodosUsuariosComSucesso()","","Thu Feb 20 17:44:36 GMT 2025","passed","Thu Feb 20 17:44:37 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testListarTodosUsuariosComSucesso"
"","912","testBuscarUsuariosPorIdComSucesso()","","Thu Feb 20 17:44:35 GMT 2025","passed","Thu Feb 20 17:44:36 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testBuscarUsuariosPorIdComSucesso"
"","640","testDeveExcluirUsuarioComSucesso()","","Thu Feb 20 17:44:39 GMT 2025","passed","Thu Feb 20 17:44:40 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","testDeveExcluirUsuarioComSucesso"
"","891","testRealizarLoginComCamposVazios()","","Thu Feb 20 17:44:33 GMT 2025","passed","Thu Feb 20 17:44:34 GMT 2025","","com.vemser.rest.tests.functional.login.LoginTest","com.vemser.rest.tests.functional.login.LoginTest","testRealizarLoginComCamposVazios"
"","443","testDeveCadastrarProdutoComSucesso()","","Thu Feb 20 17:44:34 GMT 2025","passed","Thu Feb 20 17:44:34 GMT 2025","","com.vemser.rest.tests.functional.produtos.CadastarProdutosTest","com.vemser.rest.tests.functional.produtos.CadastarProdutosTest","testDeveCadastrarProdutoComSucesso"
"","599","testTentarCadastrarUsuarioComEmailJaCadastrado()","","Thu Feb 20 17:44:37 GMT 2025","passed","Thu Feb 20 17:44:38 GMT 2025","","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","testTentarCadastrarUsuarioComEmailJaCadastrado"
"","100","testTentarCadastrarUsuarioComCamposVazios()","","Thu Feb 20 17:44:38 GMT 2025","passed","Thu Feb 20 17:44:38 GMT 2025","","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","testTentarCadastrarUsuarioComCamposVazios"
