"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","155","testListarUsuariosPorNomeInvalido()","","Thu Feb 20 17:49:45 GMT 2025","passed","Thu Feb 20 17:49:46 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testListarUsuariosPorNomeInvalido"
"","4563","testRealizarLoginInvalido()","","Thu Feb 20 17:49:35 GMT 2025","passed","Thu Feb 20 17:49:40 GMT 2025","","com.vemser.rest.tests.functional.login.LoginTest","com.vemser.rest.tests.functional.login.LoginTest","testRealizarLoginInvalido"
"","1279","testSchemaBuscarUsuariosPorId()","","Thu Feb 20 17:49:43 GMT 2025","passed","Thu Feb 20 17:49:44 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testSchemaBuscarUsuariosPorId"
"","118","testExcluirUsuarioInvalido()","","Thu Feb 20 17:49:49 GMT 2025","passed","Thu Feb 20 17:49:49 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","testExcluirUsuarioInvalido"
"","791","testTentarCadastrarUsuarioComEmailJaCadastrado()","","Thu Feb 20 17:49:46 GMT 2025","passed","Thu Feb 20 17:49:47 GMT 2025","","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","testTentarCadastrarUsuarioComEmailJaCadastrado"
"","149","testBuscarUsuarioPorIdInvalido()","","Thu Feb 20 17:49:44 GMT 2025","passed","Thu Feb 20 17:49:44 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testBuscarUsuarioPorIdInvalido"
"","880","testBuscarUsuariosPorIdComSucesso()","","Thu Feb 20 17:49:45 GMT 2025","passed","Thu Feb 20 17:49:45 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testBuscarUsuariosPorIdComSucesso"
"","846","testListarTodosUsuariosComSucesso()","","Thu Feb 20 17:49:46 GMT 2025","passed","Thu Feb 20 17:49:46 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testListarTodosUsuariosComSucesso"
"","705","testDeveAtualizarUsuarioComSucesso()","","Thu Feb 20 17:49:48 GMT 2025","passed","Thu Feb 20 17:49:48 GMT 2025","","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","testDeveAtualizarUsuarioComSucesso"
"","1773","testSchemaRealizarLoginComSucesso()","","Thu Feb 20 17:49:05 GMT 2025","passed","Thu Feb 20 17:49:07 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaRealizarLoginComSucesso"
