"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","126","testListarUsuariosPorEmailInvalido()","","Wed Feb 19 12:44:30 GMT 2025","passed","Wed Feb 19 12:44:30 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testListarUsuariosPorEmailInvalido"
"","264","testBuscarUsuariosPorIdComSucesso()","","Wed Feb 19 12:44:30 GMT 2025","passed","Wed Feb 19 12:44:31 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testBuscarUsuariosPorIdComSucesso"
"","364","testSchemaExcluirUsuarioComSucesso()","","Wed Feb 19 12:44:05 GMT 2025","passed","Wed Feb 19 12:44:06 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaExcluirUsuarioComSucesso"
"","2471","testRealizarLoginInvalido()","","Wed Feb 19 12:44:27 GMT 2025","passed","Wed Feb 19 12:44:29 GMT 2025","","com.vemser.rest.tests.functional.login.LoginTest","com.vemser.rest.tests.functional.login.LoginTest","testRealizarLoginInvalido"
"","1804","testSchemaListarTodosUsuariosComSucesso()","","Wed Feb 19 12:44:02 GMT 2025","passed","Wed Feb 19 12:44:04 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaListarTodosUsuariosComSucesso"
"","231","testAtualizarUsuarioInexistenteEComEmailJaCadastrado()","","Wed Feb 19 12:44:32 GMT 2025","passed","Wed Feb 19 12:44:32 GMT 2025","","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","testAtualizarUsuarioInexistenteEComEmailJaCadastrado"
"","70","testExcluirUsuarioInvalido()","","Wed Feb 19 12:44:32 GMT 2025","passed","Wed Feb 19 12:44:32 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","testExcluirUsuarioInvalido"
"","92","testBuscarUsuarioPorIdInvalido()","","Wed Feb 19 12:44:30 GMT 2025","passed","Wed Feb 19 12:44:30 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testBuscarUsuarioPorIdInvalido"
"","88","testExcluirUsuarioComCarrinhoCadastrado()","","Wed Feb 19 12:44:32 GMT 2025","passed","Wed Feb 19 12:44:32 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","testExcluirUsuarioComCarrinhoCadastrado"
"","365","testDeveRealizarLoginComSucesso()","","Wed Feb 19 12:44:29 GMT 2025","passed","Wed Feb 19 12:44:29 GMT 2025","","com.vemser.rest.tests.functional.login.LoginTest","com.vemser.rest.tests.functional.login.LoginTest","testDeveRealizarLoginComSucesso"
"","236","testDeveExcluirUsuarioComSucesso()","","Wed Feb 19 12:44:32 GMT 2025","passed","Wed Feb 19 12:44:32 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","testDeveExcluirUsuarioComSucesso"
"","391","testSchemaDeveCadastrarUsuarioComDadosValidos()","","Wed Feb 19 12:44:04 GMT 2025","passed","Wed Feb 19 12:44:04 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaDeveCadastrarUsuarioComDadosValidos"
"","303","testRealizarLoginComCamposVazios()","","Wed Feb 19 12:44:29 GMT 2025","passed","Wed Feb 19 12:44:30 GMT 2025","","com.vemser.rest.tests.functional.login.LoginTest","com.vemser.rest.tests.functional.login.LoginTest","testRealizarLoginComCamposVazios"
"","449","testSchemaAtualizarUsuarioComSucesso()","","Wed Feb 19 12:44:05 GMT 2025","passed","Wed Feb 19 12:44:05 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaAtualizarUsuarioComSucesso"
"","262","testTentarCadastrarUsuarioComEmailJaCadastrado()","","Wed Feb 19 12:44:31 GMT 2025","passed","Wed Feb 19 12:44:31 GMT 2025","","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","testTentarCadastrarUsuarioComEmailJaCadastrado"
"","431","testSchemaBuscarUsuariosPorId()","","Wed Feb 19 12:44:30 GMT 2025","passed","Wed Feb 19 12:44:30 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testSchemaBuscarUsuariosPorId"
"","919","testSchemaRealizarLoginComSucesso()","","Wed Feb 19 12:44:04 GMT 2025","passed","Wed Feb 19 12:44:05 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaRealizarLoginComSucesso"
