"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","114","testExcluirUsuarioInvalido()","","Wed Feb 19 17:24:59 GMT 2025","passed","Wed Feb 19 17:24:59 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","testExcluirUsuarioInvalido"
"","1664","testListarTodosUsuariosComSucesso()","","Wed Feb 19 17:23:39 GMT 2025","passed","Wed Feb 19 17:23:41 GMT 2025","","com.vemser.rest.tests.healthcheck.HealthCheckTest","com.vemser.rest.tests.healthcheck.HealthCheckTest","testListarTodosUsuariosComSucesso"
"","906","testDeveRealizarLoginComSucesso()","","Wed Feb 19 17:24:53 GMT 2025","passed","Wed Feb 19 17:24:53 GMT 2025","","com.vemser.rest.tests.functional.login.LoginTest","com.vemser.rest.tests.functional.login.LoginTest","testDeveRealizarLoginComSucesso"
"","539","testDeveExcluirUsuarioComSucesso()","","Wed Feb 19 17:24:59 GMT 2025","passed","Wed Feb 19 17:25:00 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","testDeveExcluirUsuarioComSucesso"
"","2978","testSchemaDeveCadastrarProdutoComSucesso()","","Wed Feb 19 17:24:08 GMT 2025","passed","Wed Feb 19 17:24:11 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaDeveCadastrarProdutoComSucesso"
"","695","testBuscarUsuariosPorIdComSucesso()","","Wed Feb 19 17:24:56 GMT 2025","passed","Wed Feb 19 17:24:56 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testBuscarUsuariosPorIdComSucesso"
"","463","testAtualizarUsuarioInexistenteEComEmailJaCadastrado()","","Wed Feb 19 17:24:59 GMT 2025","passed","Wed Feb 19 17:24:59 GMT 2025","","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","testAtualizarUsuarioInexistenteEComEmailJaCadastrado"
"","131","testTentarCadastrarUsuarioComCamposVazios()","","Wed Feb 19 17:24:58 GMT 2025","passed","Wed Feb 19 17:24:58 GMT 2025","","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","testTentarCadastrarUsuarioComCamposVazios"
"","126","testBuscarUsuarioPorIdInvalido()","","Wed Feb 19 17:24:55 GMT 2025","passed","Wed Feb 19 17:24:55 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testBuscarUsuarioPorIdInvalido"
"","624","testRealizarLoginComCamposVazios()","","Wed Feb 19 17:24:53 GMT 2025","passed","Wed Feb 19 17:24:54 GMT 2025","","com.vemser.rest.tests.functional.login.LoginTest","com.vemser.rest.tests.functional.login.LoginTest","testRealizarLoginComCamposVazios"
