"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","525","testDeveCadastrarProdutoComSucesso()","","Wed Feb 19 13:28:36 GMT 2025","passed","Wed Feb 19 13:28:37 GMT 2025","","com.vemser.rest.tests.functional.produtos.CadastarProdutosTest","com.vemser.rest.tests.functional.produtos.CadastarProdutosTest","testDeveCadastrarProdutoComSucesso"
"","127","testListarUsuariosPorEmailInvalido()","","Wed Feb 19 13:28:38 GMT 2025","passed","Wed Feb 19 13:28:38 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testListarUsuariosPorEmailInvalido"
"","128","testDeveCadastrarUsuarioComDadosValidos()","","Wed Feb 19 13:28:39 GMT 2025","passed","Wed Feb 19 13:28:39 GMT 2025","","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","testDeveCadastrarUsuarioComDadosValidos"
"","599","testSchemaBuscarUsuariosPorId()","","Wed Feb 19 13:28:37 GMT 2025","passed","Wed Feb 19 13:28:38 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testSchemaBuscarUsuariosPorId"
"","2460","testSchemaDeveCadastrarProdutoComSucesso()","","Wed Feb 19 13:28:07 GMT 2025","passed","Wed Feb 19 13:28:09 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaDeveCadastrarProdutoComSucesso"
"","116","testExcluirUsuarioInvalido()","","Wed Feb 19 13:28:40 GMT 2025","passed","Wed Feb 19 13:28:40 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","testExcluirUsuarioInvalido"
"","327","testListarTodosUsuariosComSucesso()","","Wed Feb 19 13:28:38 GMT 2025","passed","Wed Feb 19 13:28:39 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testListarTodosUsuariosComSucesso"
"","269","testSchemaListarTodosUsuariosComSucesso()","","Wed Feb 19 13:28:10 GMT 2025","passed","Wed Feb 19 13:28:10 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaListarTodosUsuariosComSucesso"
"","394","testDeveExcluirUsuarioComSucesso()","","Wed Feb 19 13:28:40 GMT 2025","passed","Wed Feb 19 13:28:41 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","testDeveExcluirUsuarioComSucesso"
"","377","testAtualizarUsuarioInexistenteEComEmailJaCadastrado()","","Wed Feb 19 13:28:40 GMT 2025","passed","Wed Feb 19 13:28:40 GMT 2025","","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","testAtualizarUsuarioInexistenteEComEmailJaCadastrado"
