"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1780","testListarTodosUsuariosComSucesso()","","Wed Feb 19 18:06:08 GMT 2025","passed","Wed Feb 19 18:06:10 GMT 2025","","com.vemser.rest.tests.healthcheck.HealthCheckTest","com.vemser.rest.tests.healthcheck.HealthCheckTest","testListarTodosUsuariosComSucesso"
"","1229","testDeveRealizarLoginComSucesso()","","Wed Feb 19 18:07:05 GMT 2025","passed","Wed Feb 19 18:07:07 GMT 2025","","com.vemser.rest.tests.functional.login.LoginTest","com.vemser.rest.tests.functional.login.LoginTest","testDeveRealizarLoginComSucesso"
"","143","testListarUsuariosPorNomeInvalido()","","Wed Feb 19 18:07:10 GMT 2025","passed","Wed Feb 19 18:07:10 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testListarUsuariosPorNomeInvalido"
"","125","testBuscarUsuarioPorIdInvalido()","","Wed Feb 19 18:07:09 GMT 2025","passed","Wed Feb 19 18:07:09 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testBuscarUsuarioPorIdInvalido"
"","530","testSchemaListarTodosUsuariosComSucesso()","","Wed Feb 19 18:06:33 GMT 2025","passed","Wed Feb 19 18:06:33 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaListarTodosUsuariosComSucesso"
"","2887","testSchemaDeveCadastrarProdutoComSucesso()","","Wed Feb 19 18:06:30 GMT 2025","passed","Wed Feb 19 18:06:33 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaDeveCadastrarProdutoComSucesso"
"","989","testSchemaBuscarUsuariosPorId()","","Wed Feb 19 18:07:08 GMT 2025","passed","Wed Feb 19 18:07:09 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testSchemaBuscarUsuariosPorId"
"","691","testSchemaExcluirUsuarioComSucesso()","","Wed Feb 19 18:06:36 GMT 2025","passed","Wed Feb 19 18:06:36 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaExcluirUsuarioComSucesso"
"","111","testExcluirUsuarioInvalido()","","Wed Feb 19 18:07:13 GMT 2025","passed","Wed Feb 19 18:07:13 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","testExcluirUsuarioInvalido"
"","3927","testRealizarLoginInvalido()","","Wed Feb 19 18:07:01 GMT 2025","passed","Wed Feb 19 18:07:05 GMT 2025","","com.vemser.rest.tests.functional.login.LoginTest","com.vemser.rest.tests.functional.login.LoginTest","testRealizarLoginInvalido"
