"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1827","testSchemaListarTodosUsuariosComSucesso()","","Wed Feb 19 02:41:14 GMT 2025","passed","Wed Feb 19 02:41:16 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaListarTodosUsuariosComSucesso"
"","119","testAtualizarUsuarioInexistenteECriacaoDeNovoUsuario()","","Wed Feb 19 02:41:46 GMT 2025","passed","Wed Feb 19 02:41:46 GMT 2025","","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","testAtualizarUsuarioInexistenteECriacaoDeNovoUsuario"
"","1268","testSchemaRealizarLoginComSucesso()","","Wed Feb 19 02:41:16 GMT 2025","passed","Wed Feb 19 02:41:17 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaRealizarLoginComSucesso"
"","482","testSchemaAtualizarUsuarioComSucesso()","","Wed Feb 19 02:41:17 GMT 2025","passed","Wed Feb 19 02:41:18 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaAtualizarUsuarioComSucesso"
"","587","testRealizarLoginComCamposVazios()","","Wed Feb 19 02:41:41 GMT 2025","passed","Wed Feb 19 02:41:42 GMT 2025","","com.vemser.rest.tests.functional.login.LoginTest","com.vemser.rest.tests.functional.login.LoginTest","testRealizarLoginComCamposVazios"
"","677","testSchemaBuscarUsuariosPorId()","","Wed Feb 19 02:41:42 GMT 2025","passed","Wed Feb 19 02:41:43 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testSchemaBuscarUsuariosPorId"
"","3097","testRealizarLoginInvalido()","","Wed Feb 19 02:41:37 GMT 2025","passed","Wed Feb 19 02:41:40 GMT 2025","","com.vemser.rest.tests.functional.login.LoginTest","com.vemser.rest.tests.functional.login.LoginTest","testRealizarLoginInvalido"
"","433","testDeveExcluirUsuarioComSucesso()","","Wed Feb 19 02:41:46 GMT 2025","passed","Wed Feb 19 02:41:47 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","testDeveExcluirUsuarioComSucesso"
"","1769","testListarTodosUsuariosComSucesso()","","Wed Feb 19 02:40:52 GMT 2025","passed","Wed Feb 19 02:40:53 GMT 2025","","com.vemser.rest.tests.healthcheck.HealthCheckTest","com.vemser.rest.tests.healthcheck.HealthCheckTest","testListarTodosUsuariosComSucesso"
"","525","testDeveAtualizarUsuarioComSucesso()","","Wed Feb 19 02:41:45 GMT 2025","passed","Wed Feb 19 02:41:45 GMT 2025","","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","testDeveAtualizarUsuarioComSucesso"
"","114","testExcluirUsuarioComCarrinhoCadastrado()","","Wed Feb 19 02:41:46 GMT 2025","passed","Wed Feb 19 02:41:46 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","testExcluirUsuarioComCarrinhoCadastrado"
"","528","testTentarCadastrarUsuarioComEmailJaCadastrado()","","Wed Feb 19 02:41:44 GMT 2025","passed","Wed Feb 19 02:41:44 GMT 2025","","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","testTentarCadastrarUsuarioComEmailJaCadastrado"
"","435","testListarTodosUsuariosComSucesso()","","Wed Feb 19 02:41:44 GMT 2025","passed","Wed Feb 19 02:41:44 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testListarTodosUsuariosComSucesso"
"","550","testAtualizarUsuarioInexistenteEComEmailJaCadastrado()","","Wed Feb 19 02:41:45 GMT 2025","passed","Wed Feb 19 02:41:46 GMT 2025","","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","testAtualizarUsuarioInexistenteEComEmailJaCadastrado"
"","118","testBuscarUsuarioPorIdInvalido()","","Wed Feb 19 02:41:43 GMT 2025","passed","Wed Feb 19 02:41:43 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testBuscarUsuarioPorIdInvalido"
"","116","testExcluirUsuarioInvalido()","","Wed Feb 19 02:41:46 GMT 2025","passed","Wed Feb 19 02:41:46 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","testExcluirUsuarioInvalido"
"","126","testDeveCadastrarUsuarioComDadosValidos()","","Wed Feb 19 02:41:44 GMT 2025","passed","Wed Feb 19 02:41:45 GMT 2025","","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","testDeveCadastrarUsuarioComDadosValidos"
"","134","testTentarCadastrarUsuarioComCamposVazios()","","Wed Feb 19 02:41:45 GMT 2025","passed","Wed Feb 19 02:41:45 GMT 2025","","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","testTentarCadastrarUsuarioComCamposVazios"
"","693","testDeveRealizarLoginComSucesso()","","Wed Feb 19 02:41:41 GMT 2025","passed","Wed Feb 19 02:41:41 GMT 2025","","com.vemser.rest.tests.functional.login.LoginTest","com.vemser.rest.tests.functional.login.LoginTest","testDeveRealizarLoginComSucesso"
"","120","testListarUsuariosPorNomeInvalido()","","Wed Feb 19 02:41:43 GMT 2025","passed","Wed Feb 19 02:41:44 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testListarUsuariosPorNomeInvalido"
"","564","testBuscarUsuariosPorIdComSucesso()","","Wed Feb 19 02:41:43 GMT 2025","passed","Wed Feb 19 02:41:43 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testBuscarUsuariosPorIdComSucesso"
"","462","testSchemaExcluirUsuarioComSucesso()","","Wed Feb 19 02:41:18 GMT 2025","passed","Wed Feb 19 02:41:18 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaExcluirUsuarioComSucesso"
"","183","testListarUsuariosPorEmailInvalido()","","Wed Feb 19 02:41:43 GMT 2025","passed","Wed Feb 19 02:41:43 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testListarUsuariosPorEmailInvalido"
"","374","testSchemaDeveCadastrarUsuarioComDadosValidos()","","Wed Feb 19 02:41:16 GMT 2025","passed","Wed Feb 19 02:41:16 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaDeveCadastrarUsuarioComDadosValidos"
