"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","94","testAtualizarUsuarioInexistenteECriacaoDeNovoUsuario()","","Wed Feb 19 18:18:53 GMT 2025","passed","Wed Feb 19 18:18:53 GMT 2025","","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","testAtualizarUsuarioInexistenteECriacaoDeNovoUsuario"
"","72","testExcluirUsuarioComCarrinhoCadastrado()","","Wed Feb 19 18:18:53 GMT 2025","passed","Wed Feb 19 18:18:53 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","testExcluirUsuarioComCarrinhoCadastrado"
"","87","testDeveCadastrarUsuarioComDadosValidos()","","Wed Feb 19 18:18:52 GMT 2025","passed","Wed Feb 19 18:18:52 GMT 2025","","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","testDeveCadastrarUsuarioComDadosValidos"
"","133","testListarUsuariosPorNomeInvalido()","","Wed Feb 19 18:18:50 GMT 2025","passed","Wed Feb 19 18:18:51 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testListarUsuariosPorNomeInvalido"
"","1812","testListarTodosUsuariosComSucesso()","","Wed Feb 19 18:17:54 GMT 2025","passed","Wed Feb 19 18:17:56 GMT 2025","","com.vemser.rest.tests.healthcheck.HealthCheckTest","com.vemser.rest.tests.healthcheck.HealthCheckTest","testListarTodosUsuariosComSucesso"
"","958","testSchemaAtualizarUsuarioComSucesso()","","Wed Feb 19 18:18:20 GMT 2025","passed","Wed Feb 19 18:18:21 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaAtualizarUsuarioComSucesso"
"","987","testDeveRealizarLoginComSucesso()","","Wed Feb 19 18:18:46 GMT 2025","passed","Wed Feb 19 18:18:47 GMT 2025","","com.vemser.rest.tests.functional.login.LoginTest","com.vemser.rest.tests.functional.login.LoginTest","testDeveRealizarLoginComSucesso"
"","1292","testSchemaRealizarLoginComSucesso()","","Wed Feb 19 18:18:19 GMT 2025","passed","Wed Feb 19 18:18:20 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaRealizarLoginComSucesso"
"","90","testBuscarUsuarioPorIdInvalido()","","Wed Feb 19 18:18:50 GMT 2025","passed","Wed Feb 19 18:18:50 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testBuscarUsuarioPorIdInvalido"
"","497","testListarTodosUsuariosComSucesso()","","Wed Feb 19 18:18:51 GMT 2025","passed","Wed Feb 19 18:18:51 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testListarTodosUsuariosComSucesso"
