"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","169","testAtualizarUsuarioInexistenteECriacaoDeNovoUsuario()","","Thu Feb 20 17:28:29 GMT 2025","passed","Thu Feb 20 17:28:29 GMT 2025","","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","testAtualizarUsuarioInexistenteECriacaoDeNovoUsuario"
"","159","testSchemaDeveCadastrarUsuarioComDadosValidos()","","Thu Feb 20 17:27:37 GMT 2025","passed","Thu Feb 20 17:27:37 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaDeveCadastrarUsuarioComDadosValidos"
"","128","testExcluirUsuarioComCarrinhoCadastrado()","","Thu Feb 20 17:28:29 GMT 2025","passed","Thu Feb 20 17:28:29 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","testExcluirUsuarioComCarrinhoCadastrado"
"","834","testAtualizarUsuarioInexistenteEComEmailJaCadastrado()","","Thu Feb 20 17:28:28 GMT 2025","passed","Thu Feb 20 17:28:29 GMT 2025","","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","testAtualizarUsuarioInexistenteEComEmailJaCadastrado"
"","1390","testBuscarUsuariosPorIdComSucesso()","","Thu Feb 20 17:28:23 GMT 2025","passed","Thu Feb 20 17:28:24 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testBuscarUsuariosPorIdComSucesso"
"","1382","testSchemaExcluirUsuarioComSucesso()","","Thu Feb 20 17:27:42 GMT 2025","passed","Thu Feb 20 17:27:43 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaExcluirUsuarioComSucesso"
"","970","testSchemaListarTodosUsuariosComSucesso()","","Thu Feb 20 17:27:36 GMT 2025","passed","Thu Feb 20 17:27:37 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaListarTodosUsuariosComSucesso"
"","1076","testListarTodosUsuariosComSucesso()","","Thu Feb 20 17:28:24 GMT 2025","passed","Thu Feb 20 17:28:26 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testListarTodosUsuariosComSucesso"
"","1480","testRealizarLoginComCamposVazios()","","Thu Feb 20 17:28:19 GMT 2025","passed","Thu Feb 20 17:28:20 GMT 2025","","com.vemser.rest.tests.functional.login.LoginTest","com.vemser.rest.tests.functional.login.LoginTest","testRealizarLoginComCamposVazios"
"","128","testDeveCadastrarUsuarioComDadosValidos()","","Thu Feb 20 17:28:27 GMT 2025","passed","Thu Feb 20 17:28:27 GMT 2025","","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","testDeveCadastrarUsuarioComDadosValidos"
"","6106","testRealizarLoginInvalido()","","Thu Feb 20 17:28:11 GMT 2025","passed","Thu Feb 20 17:28:17 GMT 2025","","com.vemser.rest.tests.functional.login.LoginTest","com.vemser.rest.tests.functional.login.LoginTest","testRealizarLoginInvalido"
"","165","testTentarCadastrarUsuarioComCamposVazios()","","Thu Feb 20 17:28:27 GMT 2025","passed","Thu Feb 20 17:28:27 GMT 2025","","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","testTentarCadastrarUsuarioComCamposVazios"
"","156","testListarUsuariosPorNomeInvalido()","","Thu Feb 20 17:28:24 GMT 2025","passed","Thu Feb 20 17:28:24 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testListarUsuariosPorNomeInvalido"
"","824","testDeveExcluirUsuarioComSucesso()","","Thu Feb 20 17:28:29 GMT 2025","passed","Thu Feb 20 17:28:30 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","testDeveExcluirUsuarioComSucesso"
"","154","testBuscarUsuarioPorIdInvalido()","","Thu Feb 20 17:28:23 GMT 2025","passed","Thu Feb 20 17:28:23 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testBuscarUsuarioPorIdInvalido"
"","1107","testTentarCadastrarUsuarioComEmailJaCadastrado()","","Thu Feb 20 17:28:26 GMT 2025","passed","Thu Feb 20 17:28:27 GMT 2025","","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","testTentarCadastrarUsuarioComEmailJaCadastrado"
"","971","testDeveAtualizarUsuarioComSucesso()","","Thu Feb 20 17:28:27 GMT 2025","passed","Thu Feb 20 17:28:28 GMT 2025","","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","testDeveAtualizarUsuarioComSucesso"
