"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","783","testDeveRealizarLoginComSucesso()","","Wed Feb 19 18:14:34 GMT 2025","passed","Wed Feb 19 18:14:35 GMT 2025","","com.vemser.rest.tests.functional.login.LoginTest","com.vemser.rest.tests.functional.login.LoginTest","testDeveRealizarLoginComSucesso"
"","84","testBuscarUsuarioPorIdInvalido()","","Wed Feb 19 18:14:37 GMT 2025","passed","Wed Feb 19 18:14:37 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testBuscarUsuarioPorIdInvalido"
"","3481","testRealizarLoginInvalido()","","Wed Feb 19 18:14:31 GMT 2025","passed","Wed Feb 19 18:14:34 GMT 2025","","com.vemser.rest.tests.functional.login.LoginTest","com.vemser.rest.tests.functional.login.LoginTest","testRealizarLoginInvalido"
"","92","testTentarCadastrarUsuarioComCamposVazios()","","Wed Feb 19 18:14:40 GMT 2025","passed","Wed Feb 19 18:14:40 GMT 2025","","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","testTentarCadastrarUsuarioComCamposVazios"
"","86","testAtualizarUsuarioInexistenteECriacaoDeNovoUsuario()","","Wed Feb 19 18:14:41 GMT 2025","passed","Wed Feb 19 18:14:41 GMT 2025","","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","testAtualizarUsuarioInexistenteECriacaoDeNovoUsuario"
"","2810","testSchemaDeveCadastrarProdutoComSucesso()","","Wed Feb 19 18:14:07 GMT 2025","passed","Wed Feb 19 18:14:10 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaDeveCadastrarProdutoComSucesso"
"","660","testListarTodosUsuariosComSucesso()","","Wed Feb 19 18:14:38 GMT 2025","passed","Wed Feb 19 18:14:39 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testListarTodosUsuariosComSucesso"
"","729","testSchemaExcluirUsuarioComSucesso()","","Wed Feb 19 18:14:13 GMT 2025","passed","Wed Feb 19 18:14:14 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaExcluirUsuarioComSucesso"
"","872","testSchemaBuscarUsuariosPorId()","","Wed Feb 19 18:14:36 GMT 2025","passed","Wed Feb 19 18:14:37 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testSchemaBuscarUsuariosPorId"
"","90","testListarUsuariosPorEmailInvalido()","","Wed Feb 19 18:14:37 GMT 2025","passed","Wed Feb 19 18:14:37 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testListarUsuariosPorEmailInvalido"
