"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","702","testSchemaBuscarUsuariosPorId()","","Wed Feb 19 02:04:37 GMT 2025","passed","Wed Feb 19 02:04:37 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testSchemaBuscarUsuariosPorId"
"","454","testDeveExcluirUsuarioComSucesso()","","Wed Feb 19 02:04:41 GMT 2025","passed","Wed Feb 19 02:04:41 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","com.vemser.rest.tests.functional.usuarios.ExcluirUsuariosTest","testDeveExcluirUsuarioComSucesso"
"","127","testListarUsuariosPorNomeInvalido()","","Wed Feb 19 02:04:38 GMT 2025","passed","Wed Feb 19 02:04:38 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testListarUsuariosPorNomeInvalido"
"","586","testRealizarLoginComCamposVazios()","","Wed Feb 19 02:04:36 GMT 2025","passed","Wed Feb 19 02:04:37 GMT 2025","","com.vemser.rest.tests.functional.login.LoginTest","com.vemser.rest.tests.functional.login.LoginTest","testRealizarLoginComCamposVazios"
"","501","testDeveAtualizarUsuarioComSucesso()","","Wed Feb 19 02:04:39 GMT 2025","passed","Wed Feb 19 02:04:40 GMT 2025","","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","com.vemser.rest.tests.functional.usuarios.AtualizarUsuariosTest","testDeveAtualizarUsuarioComSucesso"
"","501","testTentarCadastrarUsuarioComEmailJaCadastrado()","","Wed Feb 19 02:04:39 GMT 2025","passed","Wed Feb 19 02:04:39 GMT 2025","","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","testTentarCadastrarUsuarioComEmailJaCadastrado"
"","399","testListarTodosUsuariosComSucesso()","","Wed Feb 19 02:04:38 GMT 2025","passed","Wed Feb 19 02:04:39 GMT 2025","","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","com.vemser.rest.tests.functional.usuarios.ListarUsuariosTest","testListarTodosUsuariosComSucesso"
"","486","testSchemaExcluirUsuarioComSucesso()","","Wed Feb 19 02:04:11 GMT 2025","passed","Wed Feb 19 02:04:12 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaExcluirUsuarioComSucesso"
"","599","testSchemaAtualizarUsuarioComSucesso()","","Wed Feb 19 02:04:11 GMT 2025","passed","Wed Feb 19 02:04:11 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaAtualizarUsuarioComSucesso"
"","403","testSchemaDeveCadastrarUsuarioComDadosValidos()","","Wed Feb 19 02:04:09 GMT 2025","passed","Wed Feb 19 02:04:09 GMT 2025","","com.vemser.rest.tests.contrato.ContratoTest","com.vemser.rest.tests.contrato.ContratoTest","testSchemaDeveCadastrarUsuarioComDadosValidos"
"","1750","testListarTodosUsuariosComSucesso()","","Wed Feb 19 02:03:36 GMT 2025","passed","Wed Feb 19 02:03:38 GMT 2025","","com.vemser.rest.tests.healthcheck.HealthCheckTest","com.vemser.rest.tests.healthcheck.HealthCheckTest","testListarTodosUsuariosComSucesso"
"","127","testDeveCadastrarUsuarioComDadosValidos()","","Wed Feb 19 02:04:39 GMT 2025","passed","Wed Feb 19 02:04:39 GMT 2025","","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","com.vemser.rest.tests.functional.usuarios.CadastrarUsuariosTest","testDeveCadastrarUsuarioComDadosValidos"
